时间,点赞,评论者ID,评论者昵称,评论者性别,评论者个性签名,评论内容
Tue Mar  5 21:07:11 2019,74,15128959,懵懵萌清酱w,女,脾气不好,"(认真听课)...嗯对 
→(陷入思考)...这啥
→(逐渐走神)...参数 什么参数 看不懂
→(发呆)  ...
→(缓过神) 阿先收藏吧"
Sat Mar 23 19:34:29 2019,29,40770769,萌妹子的大口巾,保密,,b站up教如何爬b站 b站过审 让别人学如何爬自己ヽ(`Д´)ﾉ
Tue Mar 26 12:03:30 2019,26,12478498,MELtRIGGER,保密,个人博客：因为某供应商机房爆炸-已关闭,然后爬取速度过快，UA奇怪，全都没来路。直接被WAF给BAN ID+IP
Wed Mar 27 12:25:24 2019,11,365281887,王夕夕夕夕,保密,(⁄ ⁄•⁄ω⁄•⁄ ⁄),啥是爬虫？
Sun Mar 31 11:22:02 2019,7,7676966,牵手穗乃果,男,诚信单推:永远喜欢松冈祯丞，茅野爱衣，种田梨沙，佐仓绫音，大西沙织，日高里菜，水濑祈，小仓唯，东山奈央，tkmn，内田真礼……妈的，写不下了,我爬过一个h网的小说资源[捂脸]
Thu Mar 28 01:15:48 2019,7,186909843,丰腴的瘦猴,保密,,三连了
Tue Mar 26 16:20:36 2019,6,3221755,墨城烟柳ヘ,男,白云一片去悠悠，青枫浦上不胜愁,"如果返回的是标准的json对象,可以不需要json.loads的,直接在requests后面加上.json()，就可以省略一步了"
Sat Mar 23 10:03:34 2019,3,330524183,漂亮男孩不说谎821,保密,,素质三连   思路很清晰  适合有一点python基础的人  不知道up主看的书里面怎么命名这些数据结构  我看的书管有大括号的数据结构叫字典   中括号的叫列表
Thu Apr 18 16:47:30 2019,2,761300,风筝君,保密,,"素质三连请求up主制作亚马逊云的教程，以及jupyter部署到云里的教程！！！
我发现这个玩意儿比IDLE好看和好用多了
随时可以运行来debug"
Tue Mar 26 08:48:10 2019,2,51050810,焦虑の羊驼,男,喜欢用小霸王直播的主播，不喜欢的朋友可以加一下关注,个人感觉，scrapy更好用
Wed Mar 20 13:10:17 2019,2,205033009,我才是真的黑黑乳,保密,,我放的加速看，感觉讲的不错
Tue Mar  5 19:26:27 2019,2,28496477,大野喵渣,男,这有只坚强的喵渣，打一拳估计不会哭,_(:3」∠)_自己占个沙发
Mon May 20 16:49:53 2019,1,623392,JUST会吐槽,男,吐槽的真谛.,"upup有很多视频对应的json的字典里replies属性是none，加了逻辑后，前面for循环的话也还会报错TypeError，
不过我加了个try catch问题就解决了，不影响最后输出结果。"
Wed May 15 12:34:37 2019,1,10543523,y22y,男,"欢迎加入聊天交流群(粉丝群)，群聊号码：738627178
(收藏夹有惊喜哟)",厉害，萌新问一下为什么不用urlib呢emmmm...
Tue Apr 23 21:09:09 2019,1,238338883,虽败群独傲,保密,与其在一群人的狂欢中感到寂寞，不如在一个人的独处中收获惊喜。,点进来点推荐点收藏。。。然后出去（￣▽￣）
Mon Apr 22 15:26:25 2019,1,404115794,独自走在半山腰,男,,声音好听，技术好，我决定跟随你学技术。
Wed Apr  3 23:18:28 2019,1,8351462,潇洒十二少,保密,今天吃饱了,请问把python环境放在亚马逊云上有什么优势吗？
Sat Mar 30 12:17:55 2019,1,21743452,Traceback_,男,"NotFoundError: 
Failure in opening ""哔哩哔哩""：
Can't find object ""素质三连"".",个人认为webdriver + phantomjs最实用，特别是针对那些没有接口的或者是设计了反爬虫的网站，并且可以加载和操作H5+js，缺点是编程不如urllib或requests简单，速度慢。在爬一些简单网页/简单信息时requests还是挺好用的
Wed Mar 27 22:38:10 2019,1,92205334,长夜撩人,男,这个人好懒，又傻，不知道该写什么。,大佬 大佬
Tue Mar 26 07:27:33 2019,1,27262167,丿空城灬丶,保密,,收藏了，再来看！
Tue Mar  5 21:07:11 2019,74,15128959,懵懵萌清酱w,女,脾气不好,"(认真听课)...嗯对 
→(陷入思考)...这啥
→(逐渐走神)...参数 什么参数 看不懂
→(发呆)  ...
→(缓过神) 阿先收藏吧"
Sat Mar 23 19:34:29 2019,29,40770769,萌妹子的大口巾,保密,,b站up教如何爬b站 b站过审 让别人学如何爬自己ヽ(`Д´)ﾉ
Tue Mar 26 12:03:30 2019,26,12478498,MELtRIGGER,保密,个人博客：因为某供应商机房爆炸-已关闭,然后爬取速度过快，UA奇怪，全都没来路。直接被WAF给BAN ID+IP
