出现时间,弹幕模式,字号,颜色,发送时间,弹幕池,发送者id,rowID,弹幕内容
00:00:00,1,25,16777215,Sun Jan 15 16:04:44 2017,0,24beb478,2850630427,可爱~
00:00:01,1,25,16777215,Sat Mar 18 15:03:54 2017,0,80e6138e,3113744130,至少你们还能相伴
00:00:01,5,25,15138834,Fri Sep  7 22:01:25 2018,0,a91aa2eb,4816481936211968,开头请ky圆润的滚出去 小学生都不看tag标题吗
00:00:02,1,25,16777215,Fri Oct  7 14:02:38 2016,0,ab808d3,2516972301,交出封面
00:00:02,1,25,16777215,Mon May 29 01:01:00 2017,0,a2d86dff,3413334529,惊现企鹅
00:00:02,1,25,16777215,Sat Jul 21 22:16:41 2018,0,d7565033,2642635032887362,歌曲千年之恋
00:00:02,1,25,16777215,Sat May 20 12:12:09 2017,0,486acb2d,3378913589,二周目
00:00:02,1,25,16777215,Sat May 20 19:07:06 2017,0,4b25db90,3380935029,真·三生三世
00:00:03,1,25,16777215,Sun Sep 11 18:06:11 2016,0,924b7d32,2396149749,x
00:00:03,1,25,16777215,Thu Oct  4 12:31:46 2018,0,edd7ed94,6021621441101824,封面的斑斑好傲娇啊～
00:00:04,1,25,16777215,Mon Jul 31 01:45:11 2017,0,4b25db90,3627979066,真·三生三世
00:00:04,1,25,16777215,Mon Nov 21 22:10:59 2016,0,950b1d34,2682892135,好帅
00:00:05,1,25,16777215,Fri May  4 15:49:43 2018,0,50b8afa7,4509750099,阿修罗系都越长越黑是为什么……
00:00:06,1,25,16707842,Wed Jan 10 20:19:16 2018,0,2ab07331,4171147921,真.三生三世
00:00:06,1,25,16777215,Fri Feb  3 11:11:21 2017,0,1b8dd8f0,2944205470,封面哪来的我也要
00:00:06,1,25,16777215,Thu Sep 15 13:01:14 2016,0,5c895f8a,2407949755,原来阿修罗小时候就这么黑Ծ ̮ Ծ
00:00:06,1,25,16777215,Tue Oct 23 00:28:57 2018,0,edd7ed94,6859554930819072,封面上的斑斑真可爱
00:00:06,1,25,8700107,Tue Nov  6 17:38:17 2018,0,edd7ed94,7526113463500800,交出封面，饶你不死！！！
00:00:07,1,25,0,Tue Aug  8 14:32:44 2017,0,771c00d2,3666596159,额额呃呃呃
00:00:07,1,25,16777215,Fri Aug  4 10:33:05 2017,0,48e15835,3647420040,交封不杀
00:00:07,1,25,16777215,Mon May 13 17:51:22 2019,0,bccb9ade,16042640119169024,交封不杀
00:00:07,1,25,16777215,Sun Jul  8 20:16:35 2018,0,188bba5c,2049977032376324,交封不杀
00:00:09,1,25,16777215,Mon Aug 27 13:14:34 2018,0,3f5d1907,4301625392365572,鸣佐
00:00:09,1,25,16777215,Mon Jun 20 23:11:56 2016,0,86805f3d,1980349449,哇塞
00:00:09,1,25,16777215,Sat Jul 22 02:21:46 2017,0,9a2a4f5a,3588448224,三生三世十里be
00:00:09,1,25,16777215,Sat Oct 21 18:02:08 2017,0,e0a4f3dc,3909586392,封面中唯一黄毛的鸣人瞩目
00:00:10,1,25,16777215,Sat Sep 23 16:19:22 2017,0,dbb5eb98,3831113984,交封不杀
00:00:10,1,25,16777215,Thu Oct 12 21:53:22 2017,0,696a28c2,3888471779,看一次哭一次
00:00:12,1,25,16777215,Thu Jun  8 16:04:57 2017,0,92e79d78,3440854302,我阿修罗咋这么黑
00:00:12,5,25,65535,Thu Jun 23 10:10:44 2016,0,101ddd54,1987681397,BGM:千年之恋
00:00:13,1,25,16777215,Sun Mar 24 09:11:18 2019,0,4a3c0983,13761356100009988,封面好评
00:00:13,1,25,16777215,Thu Aug  3 10:34:27 2017,0,c6f86f2c,3642674946,妈是谁
00:00:14,1,25,16707842,Wed Jan 10 20:19:39 2018,0,2ab07331,4171148805,真•三生三世
00:00:14,1,25,16777215,Thu Feb  8 20:47:02 2018,0,2850df76,4276666923,是千年之恋！
00:00:14,1,25,16777215,Wed Apr 25 05:44:14 2018,0,c39eae53,4485463937,5555
00:00:15,1,25,0,Tue Aug  8 14:32:35 2017,0,771c00d2,3666596683,哦哈哈哈哈哈哈
00:00:15,1,25,16777215,Mon Jul 11 22:10:13 2016,0,2907a8ac,2071594065,千年之恋
00:00:15,1,25,16777215,Tue Jun 21 14:02:34 2016,0,afc8fb6c,1981771579,可爱的团子
00:00:15,5,25,16777215,Tue Aug 30 22:10:09 2016,0,19f1e30,2356264965,歌手：飞儿乐队
00:00:16,1,25,16777215,Sun May 21 15:03:57 2017,0,3d2e3548,3386175029,因陀罗好帅！！！
00:00:16,1,25,16777215,Wed Jul 20 19:07:24 2016,0,150f9aa6,2118214877,千年之恋……
00:00:17,1,25,16777215,Sat May  4 11:07:09 2019,0,1e73ac16,15622238049402882,千年之恋
00:00:17,1,25,16777215,Sat Sep 24 16:04:29 2016,0,1970834a,2438539803,好可爱
00:00:18,1,25,16777215,Fri May 18 13:57:59 2018,0,33251d2f,4544637569,三生三世，花式be
00:00:18,1,25,16777215,Thu Aug  3 18:57:38 2017,0,84fb4afd,3644878962,黑白配
00:00:19,1,25,16777215,Mon Jan 28 21:26:56 2019,0,98c06bad,11293080209588226,千年之恋
00:00:21,1,25,16777215,Thu Aug 24 23:06:33 2017,0,33347b7c,3744275260,这是啥歌
00:00:22,1,25,16777215,Sun Apr  7 08:17:57 2019,0,9b5a0c7a,14393856240386048,刚从生生世世爱过来
00:00:23,1,25,16777215,Sun Jan 20 17:29:27 2019,0,3f7eb686,10923221910028290,阿修罗好可爱啊
00:00:23,1,25,16777215,Thu Oct 20 13:01:13 2016,0,d7e8036c,2572658809,因陀罗好可爱
00:00:24,1,25,0,Sat Dec 10 17:05:14 2016,0,13f2d812,2736004015,一黑一白啊
00:00:24,1,25,16777215,Wed Jun 22 18:06:19 2016,0,6a40a08c,1985740669,这歌叫什么名字
